Sentence,Language
يتم تحليل التراكيب الجيولوجية عن طريق إسقاط المعالم الجيولوجية على خريطة خاصة (الستيريونت)؛ يتم فيها تحويل المجسمات إلى مستويات، والمستويات إلى خطوط والأخيرة إلى نقاط.,ar
The chemistry laboratory stereotypically uses various forms of laboratory glassware.,en
"Por ejemplo, generalmente incluye científicos que tienen una formación especializada en organismos particulares, como la teriología, la ornitología o la herpetología, aunque usan estos organismos como sistemas para responder preguntas generales de la evolución.",es
"Der er oftest gradvise overgange i disse egenskaber fra et bjergartsnavn til det tilstødende, og et bjergartsnavn dækker derfor ikke over en ganske bestemt sammensætning, men over et spænd af forskellige sammensætninger.",da
В XII—XIII веках нашли свой путь в Европу также произведения индийских и персидских учёных.,ru
"Por ejemplo, la atómica y la Física nuclear estudian la materia a la escala más pequeña en la que se pueden identificar los elementos químicos.",es
"Glikoliz, glukozun iki pirüvata dönüştürüldüğü ve aynı anda iki net ATP molekülünün üretildiği sitoplazmada meydana gelen metabolik bir süreçtir.",tr
"Разделами квантовой химии являются: квантовая теория строения молекул, квантовая теория химических связей и межмолекулярных взаимодействий, квантовая теория химических реакций и реакционной способности и др.",ru
Bir hücredeki kromozom kümesi topluca genom olarak bilinir.,tr
"Petrologists can also use fluid inclusion data and perform high temperature and pressure physical experiments to understand the temperatures and pressures at which different mineral phases appear, and how they change through igneous and metamorphic processes.",en
"), raggiunge nuove certezze, per mezzo delle dimostrazioni, attorno a proprietà meno intuitive degli oggetti stessi (espresse dai teoremi).",it
"Ad esempio, una sequenza di DNA che codifica per l'insulina nell'uomo, codifica per l'insulina anche quando viene inserito in altri organismi, come le piante.",it
Esta se tornou a crise fundamental da matemática.,pt
"Gnejser er også folierede, med vekslende lyse og mørke bånd og ofte granitisk sammensætning.",da
Si distingue a sua volta dalla fisica delle particelle o fisica subnucleare che invece ha come oggetto lo studio delle particelle più piccole del nucleo atomico.,it
Astronomy is one of the oldest natural sciences.,en
تعرض العديد من الكائنات الرياضية، مثل مجموعات الأرقام والوظائف، بنية داخلية كنتيجة للعمليات أو العلاقات المحددة في المجموعة.,ar
أصح وأرجح الأقوال بأن أصل كلمة «كيمياء» من اللغة العربية؛ وذلك لأن صناعة الكيمياء في العصور الوسطى كانت تعتمد على الكتمان وتحريم إذاعتها وإفضاء أسرارها لغير أهلها لكون هدفها تحويل المعادن البخسة إلى ذهب وفضة، واكتشاف الإكسير الذي يعيد الصحة والشباب إلى الإنسان، بالإضافة إلى ذلك فقد كانت الكيمياء من المعارف المغلفة بالغموض والكتمان، فقد أورد حاجي خليفة صيغة وصية كيميائي لتلميذه يحذره فيها بكتمان سر هذه الصنعة وعدم إذاعتها، لأن في إذاعتها خرابًا للعالم، ويذكر هذا المعنى جابر بن حيان مرارًا في رسائله وكتبه، ولهذا نجد أن ابن خلدون يهاجم أهل هذه الصنعة وكتاباتهم المليئة بالألغاز والطلاسم التي يتعذر فهمها.,ar
"Additionally, in the 4th century BCE Aristotle made critical observations of the slow rate of geological change.",en
Birkaç prensibi vardır.,tr
"Entre sus objetivos están, además de la reconstrucción de los seres vivos que vivieron en el pasado, el estudio de su origen, de sus cambios en el tiempo (evolución y filogenia), de las relaciones entre ellos y con su entorno (paleoecología, evolución de la biosfera), de su distribución espacial y migraciones (paleobiogeografía), de las extinciones, de los procesos de fosilización (tafonomía) o de la correlación y datación de las rocas que los contienen (bioestratigrafía).",es
"Birçok mantar aynı zamanda ölü organik maddelerle beslenen saproblardır, bu da onları ekolojik sistemlerde önemli ayrıştırıcılar haline getirir.",tr
This waste product varies depending on the organism.,en
"Tipicamente, a matéria inclui átomos e outras partículas que possuem massa.",pt
"A maior parte do currículo matemático, no entanto, permaneceu em um nível básico e prático até o século XIX, quando começou a florescer na França e na Alemanha.",pt
"Αν και οι φυσικοί μελετούν μια μεγάλη ποικιλία φαινομένων, υπάρχουν κάποιες θεωρίες οι οποίες χρησιμοποιούνται από όλους τους φυσικούς.",el
أصبحت ظاهرة «العالميون» مثل ألبرت أينشتاين (1879-1955) وليف لانداو (1908-1968)، الذين عملوا في مجالات متعددة من الفيزياء، نادرة جدًا الآن.,ar
"The absorbed light energy is used to remove electrons from a donor (water) to a primary electron acceptor, a quinone designated as Q.",en
"Ondanks de specialisaties binnen de natuurkunde, is het dankzij de gemeenschappelijke basis mogelijk veel natuurkundige deelgebieden met elkaar in verband te brengen.",nl
الخليط أو المخلوط هو مزيج مكون من مادتين أو أكثر بدون روابط كيميائية بين العناصر الكيميائية أو المركبات الكيميائية فيها والتي قد تكون موجودة بنسب مختلفة، وبالتالي يحتفظ كل بخواصه وشكله، ويمكن فصل المخاليط بالطرق الكيميائية والفزيائية.,ar
"(1) Utilidade dos modelos teóricos, entendidos como conjuntos de premissas expressas de forma matemática constituem o núcleo básico de partida para a análise de um problema e seus desdobramentos.",pt
باستثناء الماء، تحتوي جميع الجزيئات التي يتكون منها كل كائن حي تقريبًا على الكربون.,ar
"சிறப்புச் சார்புக் கோட்பாட்டில், ஐன்ஸ்டைன், என்ட்ரிக் லொரன்சு மற்றும் ஹெர்மான் மின்கோவ்ஸ்கி போன்றோர்  வெளி மற்றும் நேரம் குறித்த கருத்துக்களை ஒன்றிணைத்து  நான்கு  பரிமானங்களைக் கொண்ட வெளிநேரம் என்ற கோட்பாட்டை நிறுவினார்.",ta
"Los tres tipos pueden volver a fundirse y, cuando esto ocurre, se forma un nuevo magma, a partir del cual puede volver a solidificarse una roca ígnea.",es
"Они впервые предположили, что ископаемые раковины являются остатками вымерших организмов, а также, что история Земли длиннее библейских представлений.",ru
Viruses are submicroscopic infectious agents that replicate inside the cells of organisms.,en
Organizmalar veya genleri arasındaki soy çizgilerini gösteren bir diyagram olan filogenetik bir ağaç kullanılarak temsil edilebilir.,tr
"In my opinion, that is sufficient to provide us with a feeling of an objective existence, of a reality of mathematics ...",en
"La geologia è importante per la valutazione delle risorse idriche, per la previsione e la comprensione dei pericoli naturali (es.",it
وقد أدت بعض الصعوبات التي واجهت الميكانيكا الكلاسيكية في أواخر القرن التاسع عشر، مثل إشكالية إشعاع الجسم الأسود واستقرار الإلكترونات على مداراتها، إلى التفكير بأن جميع أشكال الطاقة تتنقل على شكل حزم متقطعة غير قابلة للتجزئة، وتسمى كُمُومَات أو «كوانتوم».,ar
"​ Los estados de equilibrio se estudian y definen por medio de magnitudes extensivas tales como la energía interna, la entropía, el volumen o la composición molar del sistema,​ o por medio de magnitudes no-extensivas derivadas de las anteriores como la temperatura, presión y el potencial químico; otras magnitudes, tales como la imanación, la fuerza electromotriz y las asociadas con la mecánica de los medios continuos en general también se pueden tratar por medio de la termodinámica.",es
"Ainsi, l'arc-en-ciel, (qui cause un fort étonnement chez le profane), ne peut s'expliquer que par la compréhension de nombreux phénomènes appartenant à des domaines disjoints du corpus physique.",fr
"Период научной революции характеризуется утверждением научного метода исследований, вычленением физики из массы натурфилософии в отдельную область и развитием отдельных разделов физики: механики, оптики, термодинамики и т.",ru
"Interdisciplinary fields include agrochemistry, astrochemistry (and cosmochemistry), atmospheric chemistry, chemical engineering, chemical biology, chemo-informatics, environmental chemistry, geochemistry, green chemistry, immunochemistry, marine chemistry, materials science, mechanochemistry, medicinal chemistry, molecular biology, nanotechnology, oenology, pharmacology, phytochemistry, solid-state chemistry, surface science, thermochemistry, and many others.",en
"Door het definiëren van allerlei soorten metriek spelen hoeveelheid en ruimte zo allebei een rol in de analytische meetkunde, de differentiaalmeetkunde en de algebraïsche meetkunde.",nl
Cette découverte et les nombreuses qui ont suivi ont permis d'expliquer certains phénomènes comme ce que l'on qualifiait à l'époque de génération spontanée.,fr
​,es
At the turn of the twentieth century the theoretical underpinnings of chemistry were finally understood due to a series of remarkable discoveries that succeeded in probing and discovering the very nature of the internal structure of atoms.,en
Genellikle çözünen maddenin miktarının (solute) solventin hacmine bölünmesiyle elde edilir.,tr
"Σε επίπεδο οργανισμού, τα θερμόαιμα ζώα διατηρούν μια σταθερή εσωτερική θερμοκρασίας σώματος.",el
"Al ser una disciplina principalmente experimental, usa para su estudio métodos cuantitativos físicos como la física de reflexión y refracción de ondas mecánicas, y una serie de métodos basados en la medida de la gravedad, de campos electromagnéticos, magnéticos o eléctricos y de fenómenos radiactivos.",es
"Por exemplo, os números naturais e a aritmética foram introduzidos pela necessidade de contagem, enquanto a geometria foi motivada pela topografia, arquitetura e astronomia.",pt
"​ Consideró la geología como la ciencia que se ocupaba del estudio de los fósiles, pero hay que tener en cuenta que el término fósil incluía también en esa época los minerales y las rocas.",es
"Par exemple, tous les atomes avec six protons dans leurs noyaux constituent des atomes de l'élément carbone C. Ces éléments sont rassemblés et ordonnés dans le tableau périodique des éléments.",fr
فمثلًا جميع الذرات التي تمتلك 6 بروتونات في أنويتها هي ذرات عنصر الكربون، وجميع الذارت التي تمتلك 92 بروتونًا في أنويتها هي ذرات عنصر اليورانيوم.,ar
Analytic geometry also makes it possible to consider Euclidean spaces of higher than three dimensions.,en
"Marie-Anne Pierrette Paulze collabore à l'œuvre scientifique de Lavoisier (son mari), notamment le Traité élémentaire de chimie (1789),,.",fr
"El término física condensada de la materia fue acuñado, al parecer, por Philip Anderson, cuando renombró a su grupo de investigación, hasta entonces teoría del estado sólido, en 1967.",es
"Diversos períodos marcados por extinção de grande parte da vida, evidenciados nas rochas devido à escassez do conteúdo fossilífero, são conhecidos na história da Terra e levaram ao desenvolvimento da Teoria do Catastrofismo.",pt
"Hutton publicou uma obra com dois volumes, acerca desta teoria, em 1795.",pt
pladsmangel skubbes i vejret.,da
Os primeiros assumem uma forma cristalizada inativa e só se reproduzem com o aparelho nuclear das células alvo.,pt
The overwhelming majority of works in this ocean contain new mathematical theorems and their proofs.,en
"He further inferred that this would lead to the accumulation of favorable traits over successive generations, thereby increasing the match between the organisms and their environment.",en
Vår äldsta kunskap om människans användande av matematik är från antika Egypten och Babylonien.,sv
"​​​​​​​​ La formulación de las teorías sobre las leyes que gobiernan el Universo, como se indicaba, ha sido un objetivo central de la física desde tiempos remotos, con la filosofía griega, y antecedentes de aplicación del método científico como los de Arquímedes, y, actualmente, la filosofía del empleo sistemático de experimentos cuantitativos de observación y prueba como fuente de verificación.",es
[b],en
"Leukippos, som levde på 400-talet f.Kr., ansåg ca 480 f.Kr.",sv
الشارد أو الأيون مركب مشحون، أو هو ذرة أو جزيء اكتسب أو فقد إكترونًا أو أكثر.,ar
"Pero durante siglos, la teoría clásica de la probabilidad se dividió en escuelas separadas.",es
"Η εξελικτική βιολογία ασχολείται με την προέλευση και την καταγωγή των ειδών, όπως και με τις αλλαγές τους στο πέρασμα του χρόνου, δηλαδή με την εξέλιξη τους.",el
'microscopic chemical events').,en
"El mol se usa como contador de unidades, como la docena (12) o el millar (1000), y equivale a 



6
,
022045
⋅

10

23




{\displaystyle 6,022045\cdot 10^{23}}

.",es
"Exempelvis Matematiska institutionen vid Stockholms universitet anger att man ""inom ämneslärarprogrammet i matematik, naturvetenskapliga ämnen och teknik har du möjlighet att välja matematik antingen som första eller som andra ämne.",sv
İlham kaynakları Cuveri'in Paris'te fil kemiği fosilleri keşfiydi.,tr
"Ortalama olarak, birim zamanda bir trofik seviyenin biyokütlesine dahil edilen toplam enerji miktarı, tükettiği trofik seviyenin enerjisinin yaklaşık onda biridir.",tr
"Hermed var der åbnet op for, at Jordens alder kunne være betydeligt ældre end som angivet i Biblen.",da
تحتوي السلاسل الرسوبية لوسط الولايات المتحدة القارية وجراند كانيون في جنوب غرب الولايات المتحدة على أكوام غير مكتملة تقريبا من الصخور الرسوبية التي ظلت قائمة منذ العصر الكمبري.,ar
Scheikunde is sterk verwant met de biologie en de natuurkunde.,nl
"Many easily stated number problems have solutions that require sophisticated methods, often from across mathematics.",en
നിരീക്ഷണങ്ങൾ ഈ വാദം സാധൂകരിക്കുകയും ചെയ്തു.,ml
"Reglen om oprindelig udbredelse siger, at et sedimentlag oprindeligt er udbredt til alle sider, indtil det gradvist tynder ud eller erstattes med et lag med anden sammensætning; når vi i dag i en udgravning eller klint kan se sidelæns ind på et lag, så har dette lag oprindeligt haft større udbredelse.",da
La fisica nucleare è la branca della fisica che studia il nucleo atomico nei suoi costituenti protoni e neutroni e le loro interazioni.,it
منذ العمل الرائد لجوزيبه بيانو (1858-1932)، وديفيد هيلبرت (1862-1943)، وغيرهم في النظم البديهية في أواخر القرن التاسع عشر، أصبح من المعتاد النظر إلى الأبحاث الرياضية كإثبات للحقيقة عن طريق الاستنتاج الدقيق للبديهيات والتعاريف المختارة بشكل مناسب.,ar
Aucune force vitale n'insuffle la vie à la matière comme on le pensait avant avec la théorie vitaliste.,fr
"Se os componentes fundamentais fossem entendidos, o fenômeno também seria.",pt
"Han mente jorden måtte være ældre end tidligere antaget, fordi nedbrydning af bjerge og aflejring af sediment tager lang tid.",da
Många intermediat med varierande stabilitet kan då studeras under en reaktions gång.,sv
"Суммируя всё сказанное выше, можно записать:",ru
"Στον Νικόλαο Στένο (1638–1686) αποδίδονται ο νόμος της επαλληλίας, η αρχή της αρχικής οριζοντιότητας, και η αρχή της αρχικής πλευρικής συνέχειας: τρεις καθοριστικές αρχές της Στρωματογραφίας.",el
"In addition, they perform analog and numerical experiments of rock deformation in large and small settings.",en
دور التجريب والملاحظة التجريبية ضئيل في الرياضيات، مقارنة بالعلوم الطبيعية مثل البيولوجيا والكيمياء والفيزياء.,ar
"Modern matematikte 2020 Matematik Konu Sınıflandırması, en az 63 birinci düzey alan tanımlamaktadır.",tr
"Similarly as in science, theories and results (theorems) are often obtained from experimentation.",en
"Например, в Китае с XXII века до н. э. существовала теория об основных элементах (Вода, Огонь, Дерево, Золото, Земля).",ru
"Det influerades filosofer såsom Sir Francis Bacon (1561-1626) och René Descartes (1596-1650), vilka krävde större noggrannhet inom matematiken och att opartiskhet skulle gälla vid vetenskapliga observationer, som ledde till en vetenskaplig revolution.",sv
"രാസവളങ്ങൾ, കീടനാശിനികൾ, റഡിയഷൻ ഉപയോഗിച്ചുള്ള ധാന്യ സംസ്കരണമാർഗങ്ങൾ, മൃഗസംരക്ഷണ ഉപാധികൾ, ടിഷ്യുകൾച്ചർ മുതലായ ബയോ-കെമിക്കൽ സാങ്കേതികവിദ്യകൾ",ml
"The British naturalist Charles Darwin, combining the biogeographical approach of Humboldt, the uniformitarian geology of Lyell, Malthus's writings on population growth, and his own morphological expertise and extensive natural observations, forged a more successful evolutionary theory based on natural selection; similar reasoning and evidence led Alfred Russel Wallace to independently reach the same conclusions.",en
ചാർജ് ഉള്ള രണ്ടോ അതിലധികമോ കണങ്ങൾക്കിടയിലുള്ള ബലമാണ്‌ വൈദ്യുതകാന്തികബലം (Electro Magnetic Force).,ml
Mekanik -- Sayısal analiz -- Optimizasyon -- Olasılık -- İstatistik -- Finansal matematik,tr
Benjamin Peirce (1809-1880) matematik için bilimlerin sonuçlarının çizilmesi için gereken bilim demiştir.,tr
"Vanaf de 7de eeuw n.Chr., na de stichting van de Islam, werd het Arabisch de taal van de wetenschap.",nl
"Επίσης περιλαμβάνει συνήθως  παλαιοντολόγους που χρησιμοποιούν απολιθώματα για να απαντήσουν σε ερωτήσεις για τον τρόπο και το ρυθμό της εξέλιξης, καθώς και ειδικοί σε τομείς όπως γενετική των πληθυσμών και θεωρία της εξέλιξης.",el
"La geomorfología se centra en el estudio de las formas del relieve, pero dado que estas son el resultado de la dinámica litosférica que en general integra, como insumos, conocimientos de otras ramas de la Geografía física, tales como la climatología, la hidrografía, la pedología, la glaciología, y también de otras ciencias, para abarcar la incidencia de fenómenos biológicos,",es
"Au cours du XVIIIe siècle et du XIXe siècle, les mathématiques connaissent de forts développements avec l'étude systématique des structures, à commencer par les groupes issus des travaux de Galois sur les équations polynomiales, et les anneaux introduits par Dedekind.",fr
Las propiedades de un compuesto tienen poca similitud con las de sus elementos.,es
.,ta
"16. yüzyıldan bu yana kendi sınırlarını çizmiş modern bir bilim olmasına karşın, Bilimsel Devrim'den önce 2.000 sene boyunca felsefe, kimya, matematik ve biyolojinin belirli alt dalları ile eş anlamlı olarak kullanılmıştır.",tr
J.A.R.,en
La stereochimica e i meccanismi di reazione sono un ambito di studio fondamentale in chimica organica.,it
"Cuando los colocaron en una tabla ordenada en filas y columnas, vieron que los elementos de una misma columna tenían propiedades similares.",es
Myloniter er dannet ved nedknusning af udgangsbjergarter.,da
"Elle produit plusieurs lectures du monde, chacune n'étant considérée comme précise que jusqu'à un certain point.",fr
"La astrofísica se basa, pues, en la asunción de que las leyes de la física y la química son universales, es decir, que son las mismas en todo el universo.",es
"Tout d'abord, les démonstrations que rédigent les mathématiciens ne sont pas formalisées au point de suivre en détail les lois de la logique, car cela est impossible en un temps raisonnablement court.",fr
​,es
അവയൊന്നും തന്നെ ഒരിക്കലും പരീക്ഷണങ്ങൾക്കു വിധേയമാക്കുകയോ തെളിയിക്കപ്പെടുകയോ ചെയ്തിരുന്നില്ല.,ml
"A obra literária Provas conforme O Livro de 1998, inspirado no livro de Erdős, é uma coleção de argumentos matemáticos particularmente sucintos e reveladores.",pt
"Kemi (arabiska: كيمياء latin: chem (kēme), ordets etymologi är dock omtvistad) är en naturvetenskap som studerar materia, och dess sammansättning, uppträdande, struktur och egenskaper, såväl som de ändringar den genomgår vid kemiska reaktioner.",sv
"İkili bölünmeden önce, bakterideki DNA sıkıca sarılmıştır.",tr
"Op gennem 1800-tallet forsøgte fysikere at bestemme Jordens (og Solens) alder, bl.a.",da
"Nonostante ciò, la matematica è spesso immaginata consistere (per lo meno nel suo contenuto formale) nella teoria degli insiemi in una qualche assiomatizzazione, nel senso che ogni enunciato matematico, o dimostrazione, può essere scritto con formule esprimibili all'interno di tale teoria.",it
"O termo ""biologia"" significa basicamente ""estudo da vida"".",pt
وتَــكَمَّى: تَغَطَّى.,ar
The set of chromosomes in a cell is collectively known as its genome.,en
"This chemical energy is stored in carbohydrate molecules, such as sugars, which are synthesized from carbon dioxide and water.",en
"Живые организмы представляют собой высокоорганизованные структуры, поэтому в биологии выделяют ряд уровней организации.",ru
Efter att bergartssekvensen har avsatts kan den deformeras eller genomgå metamorfos.,sv
Jöns Jacob Berzelius spelade en viktig roll genom att ge det experimentella underlaget till Daltons atomteori och under användning av Gay-Lussacs volymlag och den av Eilhard Mitscherlich upptäckta isomorfin ge en exakt bestämning av grundämnenans atomvikter.,sv
Democritus (MÖ 460-370) Leukippos ile birlikte atomcu teoriyi geliştirmiştir.,tr
"Au niveau international, la convention de Rotterdam, administrée par l'ONU (PNUD, FAO) a été adoptée par 165 pays en 1998 pour mieux assurer la santé des personnes et de l’environnement contre des dommages éventuels induits par le commerce de produits chimiques.",fr
Les applications des découvertes en biologie sont nombreuses et très présentes dans le quotidien de l'être humain.,fr
"ചരിത്രാതീതകാലത്തെ മനുഷ്യർ വസ്തുക്കളെ കൂടാതെ, ദിവസങ്ങൾ, കൊല്ലങ്ങൾ, സൂര്യചക്രമണം തുടങ്ങിയ അമൂർത്ത സംഖ്യകൾ എണ്ണാനുള്ള ശേഷികൂടി വികസിപ്പിച്ചെടുത്തിരുന്നു.",ml
"Álgebra e cálculo não aparecem como áreas de primeiro nível, mas são campos divididos em várias áreas.",pt
"La palabra «matemática» (del griego μαθηματικά mathēmatiká, «cosas que se aprenden») viene del griego antiguo μάθημα (máthēma), que quiere decir «campo de estudio o instrucción».",es
​,es
وهناك مدلولات كثيرة على أن أصل الكلمة عربية اسمً وفعلًا، اشتقاقًَا من المصدر كمى.,ar
Bu tür eğriler fonksiyonların grafiği olarak tanımlanabilir (çalışması diferansiyel geometri'ye yol açtı).,tr
The electronic theory of chemical bonds and molecular orbitals was developed by the American scientists Linus Pauling and Gilbert N. Lewis.,en
اليوم من المعروف أن الأرض ما يقرب من 4.5 مليار سنة.,ar
"Fysiken kan ses som den mest fundamentala vetenskapen, eftersom alla andra naturvetenskaper, exempelvis kemi, biologi och geovetenskap, behandlar system som lyder under fysikens lagar.",sv
"E como o raciocínio é a atividade intelectual que leva a todas as outras atividades humanas, define-se a lógica como a ciência do raciocínio correto.",pt
"Ο τρόπος της έρευνας στη φυσική διαφέρει από τις περισσότερες επιστήμες, όσον αφορά το διαχωρισμό της θεωρίας με το πείραμα.",el
È una scienza naturale con un'ampia portata ma ha diversi temi unificanti che la legano insieme come un campo unico e coerente.,it
ജീനസ് നാമത്തിന്റെ ആദ്യ അക്ഷരം എപ്പോഴും ഇംഗ്ളീഷ് വലിയ അക്ഷരമായിരിക്കും.,ml
Matematisk forskning søger ofte at afdække afgørende træk ved et matematisk objekt.,da
De Koninklijke Zweedse Academie voor Wetenschappen reikt sinds 1901 in beginsel jaarlijks de Nobelprijs voor Natuurkunde uit.,nl
الاستتباب هو قدرةُ النظام المفتوح على تنظيم بيئته الداخلية للحفاظ على ظروف مُستقرة عن طريق تحقيق توازن ديناميكي.,ar
"He also stated that, when it comes to violent motion (motion of an object when a force is applied to it by a second object) that the speed that object moves, will only be as fast or strong as the measure of force applied to it.",en
يدرس علم وظائف الأعضاء العمليات الميكانيكية والفيزيائية والكيميائية الحيوية للكائنات الحيَّة من خلال مُحاولة فهم كيفيَّة عمل تراكيب الجسم المُختلفة.,ar
"Центральная организующая концепция в биологии состоит в том, что жизнь со временем изменяется и развивается посредством эволюции, и что все известные формы жизни на Земле имеют общее происхождение.",ru
"Un'altra disciplina con cui l'astrofisica è intimamente correlata è la cosmologia, che ha come oggetto di studio l'origine dell'universo.",it
"Em 1837, Jean-Baptiste Dumas considerou a palavra ""química"" para se referir à ciência preocupada com as leis e efeitos das forças moleculares.",pt
"Abstrakt algebra eller modern algebra uppkom på 1800-talet när problem från talteorin och teorin för ekvationer ledde till studien av abstrakta matematiska objekt som kunde vara tal, polynom, permutationer eller element i andra mängder.",sv
غالبًا ما ترتبط الأحداث التشوهية أيضًا بالبراكين والنشاط الناري، يتراكم الرماد البركاني والحمم البركانية على السطح، وتدخل اندساسات صخرية نارية من الأسفل، تدخل على طول الشقوق، وبالتالي تتشكل في كثير من الأحيان بأعداد كبيرة في المناطق التي يتم تشويهها بفعالية.,ar
è l'unità di misura.,it
Dvs.,da
"Men da den matematiske forskning i løbet af 1800-tallet i stigende grad blev præget af logisk strenghed og desuden begyndte at opdyrke nye felter som gruppeteori og projektiv geometri, som ikke primært handler om målelige størrelser, begyndte der blandt matematikere og filosoffer at dukke en række nye definitioner op.",da
Aristoteles'in 4 element teorisini ret eden bu kitap aynı zamanda simyanın döneminin de sona erdiğini işaret etmekteydi.,tr
"Οι Ίωνες φυσικοί φιλόσοφοι ήταν οι πρώτοι γνωστοί υλιστές με την πρωταρχική έννοια του όρου, πράγμα που σημαίνει ότι οι θεωρίες τους είχαν ως βάση την ερμηνεία της φύσης μέσω των υλικών πραγμάτων.",el
Les notions de démonstration et de définition axiomatique sont précisées.,fr
"Uit oudere beschavingen zijn geen bewijzen bekend, de wiskunde bestond vóór de Grieken uit het oplossen van concrete problemen.",nl
Vedi settori della biologia.,it
"Vários métodos foram desenvolvidos para este tipo de análise, dentre elas a análise gravimétrica e a análise volumétrica.",pt
ثم أطلق لينيوس في مُنتصف القرن الثامن عشر أسماءً علميَّةً على جميع الأنواع.,ar
പ്രപഞ്ചത്തിനെ കുറിച്ചുള്ള അടിസ്ഥാന നിയമങ്ങളെല്ലാം ഭൗതികശാസ്ത്രത്തിൽ നിന്നാണ് എന്നതിനാൽ മറ്റ് ശാസ്ത്ര വിഭാഗങ്ങളെല്ലാം ഭൗതികശാസ്ത്രവുമായി ബന്ധപ്പെട്ട് കിടക്കുന്നു.,ml
He explored biological causation and the diversity of life.,en
"Met hypotheses, experimenten, waarnemingen en metingen probeert de natuurkundige verborgen patronen te achterhalen.",nl
"Ο Λαβουαζιέ εργάστηκε ακόμη στη μετάφραση της αρχαϊκή και τεχνικής γλώσσα της αλχημείας στη σύγχρονη και επιστημονική της χημείας, που γίνεται πιο εύκολα κατανοητή από το ευρύτερο κοινό, οδηγώντας το σε μεγαλύτερο ενδιαφέρον για την επιστήμη αυτή.",el
"""ഉറച്ചുനിൽക്കാൻ ഒരു സ്ഥലവും വേണ്ടത്ര നീളമുള്ള ഒരു ദണ്ഡും തന്നാൽ ഈ ഭൂമിയെത്തന്നെ ഞാൻ പൊക്കിമാറ്റാം"" എന്ന് ആർക്കിമിഡീസ് ഒരിക്കൽ പറയുകയുണ്ടായി.",ml
Η Κλασική μηχανική είναι ένα μοντέλο της φυσικής των δυνάμεων που ασκούνται σε κάποια σώματα.,el
"Por exemplo, a revolução copernicana, trazendo o heliocentrismo ao primeiro plano, quebrando o paradigma geocentrista defendido pela Igreja Católica na Idade Média, a unificação da física dos Céus e da Terra com a gravitação universal de Newton, a unificação dos conhecimentos de eletricidade e magnetismo por Maxwell.",pt
"Una vía de investigación mayoritaria es la predicción de las erupciones; actualmente no hay manera de realizar dichas predicciones, sin embargo lo que se realiza es el monitoreo de la actividad a través de diversas técnicas y herramientas con instrumentación tanto en el lugar como percepción remota.",es
"Les mathématiques constituent donc, avec la démarche expérimentale, l'un des deux piliers du développement de la science moderne.",fr
Tecidos e órgãos também mantêm homeostase.,pt
"Deeper in the Earth, rocks behave plastically and fold instead of faulting.",en
Estos métodos se utilizan para una variedad de aplicaciones.,es
"In the scope of its subject, chemistry occupies an intermediate position between physics and biology.",en
Veel onderwerpen van studie in de wiskunde vinden hun oorsprong in andere exacte wetenschappen zoals de natuurkunde en de astronomie.,nl
Na sua origem foi introduzida juntamente com a álgebra homológica por permitir o estudo algébrico de objetos não algébricos como espaços topológicos; esta área específica de aplicação é chamada de topologia algébrica.,pt
"Η Χημεία είναι θεμελιώδης, κεντρική επιστήμη, από τις Φυσικές επιστήμες, η οποία ερευνά και μελετά τα χημικά στοιχεία και τις χημικές ενώσεις που αποτελούνται από άτομα, μόρια και ιόντα, καθώς και τη σύνθεση, τη δομή, τις ιδιότητες, και τη συμπεριφορά τους, αλλά και τις αλλαγές που υφίστανται κατά τη διάρκεια χημικών αντιδράσεων με άλλες ουσίες.",el
Уже Аристотель использовал название «Физика» в заголовке одного из основных своих трактатов.,ru
العنصر الكيميائي هو المادة المتكونة من نوع واحد من الذرات، ويمتلك العنصر الكيميائي عددًا ثابتًا ومحددًا من البروتونات في نواة ذرته، ويعرف هذا العدد بالعدد الذري للعنصر.,ar
ഇവ വിശിഷ്ടാപേക്ഷികതാസിദ്ധാന്തത്തിന്റെ മൗലിക തത്ത്വങ്ങളാണ്‌.,ml
"Examples of such substances are mineral salts (such as table salt), solids like carbon and diamond, metals, and familiar silica and silicate minerals such as quartz and granite.",en
"Plus précisément, elle assure la stabilité des molécules et, dans le cas d'un assemblage complexe, la cohésion liante de chaque atome entre eux mettant en jeu par échange ou partage un ou plusieurs électrons dans les liaisons covalentes.",fr
وتدرس الروابط الكيميائية وهي القوة التي تربط الذرات ببعضها، وتسعى الذرات بأن تكون أقل طاقةً وأكثر استقرارًا؛ والتفاعلات الكيميائية وهو تحول بعض المواد إلى مادة أخرى أو أكثر.,ar
"In the 1960s, it was discovered that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere.",en
"Tuttavia, il Congresso botanico internazionale del 2011 ha rifiutato di prenderlo in considerazione.",it
"Groups of atoms that contain these elements (O-, H-, P-, and S-) and are bonded to a central carbon atom or skeleton are called functional groups.",en
"However, the significance of his work was not realized until the early 20th century when evolution became a unified theory as the modern synthesis reconciled Darwinian evolution with classical genetics.",en
Большую часть XIX века геология вращалась вокруг вопроса о точном возрасте Земли.,ru
Главным доказательством теории общего предка считается универсальность генетического кода (см.,ru
"வழி அளவுகள் வேகம், முடுக்கம், விசை, வேலை, ஆற்றல், பரப்பளவு மற்றும் பல.",ta
